timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1716731220000,69001.13000000,69011.29000000,69001.12000000,69010.89000000,4.74033000,1716731279999,327094.33011170,402,4.41650000,304749.20886320,0
1716731280000,69010.88000000,69031.58000000,69010.88000000,69031.58000000,4.74406000,1716731339999,327428.86810560,398,3.26902000,225620.89177950,0
1716731340000,69031.57000000,69060.00000000,69031.57000000,69059.99000000,3.84112000,1716731399999,265206.74413850,570,2.70348000,186659.55559660,0
1716731400000,69059.99000000,69062.99000000,69059.99000000,69060.01000000,5.43818000,1716731459999,375563.63122720,505,2.03985000,140872.20497880,0
1716731460000,69060.01000000,69060.01000000,69040.01000000,69040.01000000,3.82292000,1716731519999,263961.60787710,379,0.74864000,51686.87218100,0
1716731520000,69040.02000000,69040.02000000,69040.01000000,69040.01000000,2.11475000,1716731579999,146002.37330980,308,1.21623000,83968.54352460,0
1716731580000,69040.02000000,69040.02000000,69032.07000000,69040.01000000,5.37480000,1716731639999,371057.33792550,458,2.94602000,203380.45593570,0
1716731640000,69040.02000000,69040.77000000,69040.01000000,69040.76000000,3.37918000,1716731699999,233299.42133750,287,1.79734000,124088.50266890,0
1716731700000,69040.76000000,69063.64000000,69040.76000000,69063.64000000,5.16971000,1716731759999,356940.77867200,490,4.03466000,278570.33892800,0
1716731760000,69063.63000000,69063.64000000,69054.12000000,69054.36000000,6.14218000,1716731819999,424171.84985970,345,1.32829000,91729.66645630,0
1716731820000,69054.36000000,69078.53000000,69054.36000000,69078.52000000,6.10960000,1716731879999,421941.94317540,428,4.79544000,331178.90430430,0
1716731880000,69078.52000000,69092.69000000,69078.52000000,69092.68000000,5.03683000,1716731939999,347962.61932750,399,3.00406000,207530.62487590,0
1716731940000,69092.69000000,69136.15000000,69092.68000000,69136.14000000,15.67501000,1716731999999,1083438.29850830,729,13.74535000,950079.71733910,0
1716732000000,69136.15000000,69165.00000000,69136.14000000,69164.99000000,7.92862000,1716732059999,548243.61039750,722,6.66347000,460766.90657430,0
1716732060000,69164.99000000,69213.24000000,69164.99000000,69196.00000000,35.92931000,1716732119999,2486117.03298550,1207,28.54110000,1974927.60568770,0
1716732120000,69196.01000000,69196.01000000,69164.86000000,69164.86000000,10.15821000,1716732179999,702770.77779520,629,2.25114000,155726.91697120,0
1716732180000,69164.86000000,69176.00000000,69164.86000000,69175.99000000,8.92929000,1716732239999,617603.78775380,429,7.54063000,521551.48401570,0
1716732240000,69176.00000000,69176.00000000,69125.92000000,69125.93000000,13.09211000,1716732299999,905421.82837140,515,3.86032000,266944.91851260,0
1716732300000,69125.92000000,69125.93000000,69088.41000000,69103.99000000,15.69969000,1716732359999,1084997.23606500,756,5.02884000,347496.64389360,0
1716732360000,69103.99000000,69104.00000000,69103.99000000,69103.99000000,2.42126000,1716732419999,167318.73774950,272,1.09221000,75476.07984000,0
1716732420000,69104.00000000,69110.03000000,69103.99000000,69110.02000000,8.79083000,1716732479999,607481.72128450,397,4.26590000,294790.93391610,0
1716732480000,69110.03000000,69123.78000000,69110.02000000,69123.77000000,4.84758000,1716732539999,335025.47650080,351,2.86213000,197809.95662810,0
1716732540000,69123.78000000,69130.00000000,69123.77000000,69130.00000000,4.74163000,1716732599999,327785.74759380,274,2.82509000,195295.40426660,0
1716732600000,69130.00000000,69130.00000000,69116.60000000,69116.60000000,6.53916000,1716732659999,452029.58445960,421,3.12856000,216268.30657420,0
1716732660000,69116.60000000,69116.61000000,69104.54000000,69104.55000000,5.90042000,1716732719999,407782.12916190,334,2.45568000,169708.57043200,0
1716732720000,69104.55000000,69112.01000000,69104.54000000,69112.01000000,9.22561000,1716732779999,637573.93725760,377,5.78676000,399912.44610730,0
1716732780000,69112.01000000,69142.96000000,69112.00000000,69140.01000000,5.20332000,1716732839999,359716.81414850,437,3.84996000,266144.52834620,0
1716732840000,69140.00000000,69140.01000000,69140.00000000,69140.01000000,2.42640000,1716732899999,167761.30466240,290,0.86624000,59891.84226240,0
1716732900000,69140.01000000,69144.00000000,69124.00000000,69124.00000000,6.92464000,1716732959999,478740.08196290,470,3.65182000,252477.53042350,0
1716732960000,69124.01000000,69124.01000000,69112.44000000,69112.45000000,4.11422000,1716733019999,284366.95315480,304,2.21332000,152985.11835370,0
1716733020000,69112.45000000,69135.93000000,69112.44000000,69135.93000000,16.54926000,1716733079999,1143930.95284470,608,12.32260000,851787.05451320,0
1716733080000,69135.93000000,69135.93000000,69116.84000000,69116.85000000,6.21281000,1716733139999,429467.44992150,455,3.59375000,248416.21140290,0
1716733140000,69116.84000000,69116.85000000,69116.84000000,69116.84000000,0.13777000,1716733199999,9522.22815730,44,0.11105000,7675.42619250,0
